epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,598.847,0.88816,3.32557,1.33853,0.14435,0.41196,0.19645,0.13313,0.84293,2.37531,1.34886,0.00332886,0.00332886,0.00332886
2,1199.6,0.85908,2.34691,1.25121,0.40134,0.52798,0.45056,0.32783,0.82942,1.79993,1.29947,0.00662921,0.00662921,0.00662921
3,1807.06,0.92781,2.00611,1.27236,0.31835,0.43309,0.38528,0.22116,1.24037,2.15812,1.71291,0.00989657,0.00989657,0.00989657
4,2417.22,0.96158,1.78682,1.28672,0.45576,0.57845,0.4902,0.34482,0.8568,1.71004,1.32454,0.0098515,0.0098515,0.0098515
5,3028.84,0.90959,1.58553,1.2575,0.44649,0.55687,0.49202,0.337,0.9866,1.55792,1.49176,0.009802,0.009802,0.009802
6,3639.79,0.88226,1.47392,1.23826,0.53978,0.63522,0.61247,0.46193,0.79149,1.35242,1.28064,0.0097525,0.0097525,0.0097525
7,4249.41,0.8508,1.39043,1.21768,0.58923,0.63437,0.65731,0.487,0.82294,1.18821,1.29636,0.009703,0.009703,0.009703
8,4860.74,0.83437,1.33943,1.21026,0.6261,0.69578,0.71246,0.53461,0.78529,1.1166,1.26185,0.0096535,0.0096535,0.0096535
9,5477.38,0.81377,1.2908,1.19988,0.58591,0.59204,0.60308,0.45136,0.83576,1.34831,1.31304,0.009604,0.009604,0.009604
10,6092.69,0.80762,1.24484,1.1921,0.66319,0.66324,0.72044,0.55066,0.73615,1.10531,1.22156,0.0095545,0.0095545,0.0095545
11,6707.08,0.79464,1.20727,1.18357,0.71648,0.6656,0.75527,0.59097,0.72673,1.01968,1.21834,0.009505,0.009505,0.009505
12,7321.7,0.78558,1.18688,1.18218,0.71182,0.72533,0.78369,0.60661,0.75202,0.9561,1.22713,0.0094555,0.0094555,0.0094555
13,7937.78,0.77411,1.15955,1.17415,0.65128,0.6935,0.73859,0.56458,0.75383,1.04318,1.23071,0.009406,0.009406,0.009406
14,8553.71,0.77162,1.14679,1.17365,0.6173,0.7528,0.73557,0.56461,0.74935,1.00432,1.23143,0.0093565,0.0093565,0.0093565
15,9169.68,0.75743,1.11741,1.16332,0.66536,0.71794,0.75977,0.58691,0.73917,0.98229,1.21798,0.009307,0.009307,0.009307
16,9788.38,0.76025,1.12025,1.16778,0.65108,0.76939,0.77604,0.60752,0.71943,0.91018,1.21368,0.0092575,0.0092575,0.0092575
17,10406.4,0.74755,1.09421,1.15836,0.67776,0.76051,0.80037,0.62565,0.7297,0.89441,1.22384,0.009208,0.009208,0.009208
18,11005.7,0.74286,1.06585,1.15315,0.70806,0.71495,0.7886,0.61393,0.73954,0.89486,1.22047,0.0091585,0.0091585,0.0091585
19,11543.8,0.73481,1.05069,1.14931,0.70796,0.723,0.78122,0.6002,0.72897,0.91935,1.21173,0.009109,0.009109,0.009109
20,12079.6,0.72871,1.04226,1.14863,0.70623,0.70643,0.77979,0.61847,0.71809,0.90527,1.2163,0.0090595,0.0090595,0.0090595
